to_region,avg_days_until_chart,median_days_until_chart,min_days_until_chart,max_days_until_chart
Israel,173.4,36.0,4,751
India,139.5,10.0,0,770
South Korea,107.28571428571429,14.0,0,309
Guatemala,102.2,37.5,0,771
Philippines,80.5,6.0,0,321
Honduras,74.0,1.0,0,252
Bolivia,55.2,18.5,0,199
Egypt,54.5,1.5,0,411
Netherlands,52.5,0.0,0,1010
Portugal,52.351851851851855,12.0,0,750
Saudi Arabia,48.523809523809526,25.0,0,451
Costa Rica,43.0,0.5,0,197
Peru,39.5,24.0,0,126
United Arab Emirates,38.148936170212764,10.0,0,398
Malaysia,37.225,2.0,0,421
Poland,35.1578947368421,0.0,0,246
Singapore,34.97674418604651,6.0,0,269
Lithuania,34.89473684210526,3.0,0,425
Paraguay,34.88,12.0,0,193
Brazil,31.846153846153847,0.0,0,381
Ireland,31.38,0.0,0,1080
Iceland,27.90909090909091,2.0,0,85
Italy,25.8,0.0,0,120
Ecuador,25.625,9.5,0,76
Thailand,25.161290322580644,0.0,0,701
Panama,19.70967741935484,0.0,0,269
Latvia,19.414634146341463,0.0,0,569
Uruguay,18.417721518987342,1.0,0,712
Turkey,16.8,10.0,0,52
Chile,16.473684210526315,3.0,0,89
Australia,15.285714285714286,0.0,0,181
Morocco,15.25,0.0,0,112
El Salvador,14.666666666666666,1.0,0,104
Global,13.72,1.0,0,131
Slovakia,12.266666666666667,0.0,0,369
Bulgaria,12.25,0.0,0,49
Greece,12.0,0.0,0,95
New Zealand,10.857142857142858,2.0,0,54
Japan,10.714285714285714,3.0,0,56
Argentina,10.641509433962264,0.0,0,225
Taiwan,10.55056179775281,0.0,0,284
Nicaragua,10.25,11.5,0,13
Sweden,10.130952380952381,0.0,0,332
Vietnam,9.2,0.0,0,62
France,8.847826086956522,0.0,0,336
Mexico,8.125,0.0,0,58
United Kingdom,7.696428571428571,0.0,0,186
Spain,7.55,0.0,0,77
Hong Kong,7.294117647058823,2.0,0,52
Ukraine,7.0078740157480315,0.0,0,259
Belgium,6.948717948717949,0.0,0,83
Austria,6.891891891891892,0.0,0,235
Indonesia,5.783783783783784,0.0,0,42
Finland,5.766666666666667,0.0,0,46
Russia,5.732824427480916,0.0,0,170
Canada,5.4655172413793105,0.0,0,71
Czech Republic,5.247863247863248,0.0,0,227
Colombia,4.666666666666667,0.0,0,28
Hungary,4.266666666666667,0.0,0,71
Germany,4.071942446043166,0.0,0,189
Luxembourg,4.0,4.0,0,8
Norway,3.8783783783783785,0.0,0,125
Switzerland,3.5775862068965516,0.0,0,142
Romania,3.4705882352941178,0.0,0,44
Dominican Republic,3.466666666666667,0.0,0,78
United States,3.033333333333333,0.0,0,70
Estonia,2.0,1.0,0,7
Denmark,1.4444444444444444,0.0,0,13
South Africa,0.125,0.0,0,2
